country,latitude,longitude,continent,reg_latitude,reg_longitude,ISO3,REGION,GEO3
Tonga,-21.178986,-175.198242,Oceania,-25.2744,148.7751,TON,Australia,South Pacific
Turkey,38.963745,35.243322,Europe,48.499998,18.3833318,TUR,Europe,Central Europe
Trinidad and Tobago,10.691803,-61.222503,Caribbean,21.4691,-78.6569,TTO,South America,Caribbean
Tuvalu,-7.109535,177.64933,Oceania,-25.2744,148.7751,TUV,Australia,South Pacific
Taiwan,23.69781,120.960515,East Asia,38.7946,106.5348,TWN,Asia,NW Pacific and East Asia
"Tanzania, United Republic of",-6.369028,34.888822,Africa,8.7832,29.5085,TZA,Africa,Southern Africa
Ukraine,48.379433,31.16558,Europe,48.499998,18.3833318,UKR,Europe,Eastern Europe
Uganda,1.373333,32.290275,Africa,8.7832,29.5085,UGA,Africa,Eastern Africa
United States,37.09024,-95.712891,North America,48.3544,-99.9981,USA,North America,US
Uruguay,-32.522779,-55.765835,South America,-8.7832,-55.4915,URY,South America,South America
Uzbekistan,41.377491,64.585262,Central Asia,45.4507,68.8319,UZB,Asia,Central Asia
Vatican City,41.902916,12.453389,Europe,48.499998,18.3833318,VAT,Europe,Western Europe
Saint Vincent and the Grenadines,12.984305,-61.287228,Caribbean,21.4691,-78.6569,VCT,South America,Caribbean
Venezuela,6.42375,-66.58973,South America,-8.7832,-55.4915,VEN,South America,South America
British Virgin Islands,18.420695,-64.639968,Caribbean,21.4691,-78.6569,VGB,South America,Caribbean
U.S. Virgin Islands,18.335765,-64.896335,Caribbean,21.4691,-78.6569,VIR,South America,Caribbean
Vietnam,14.058324,108.277199,East Asia,38.7946,106.5348,VNM,Asia,Southeast Asia
Vanuatu,-15.376706,166.959158,Oceania,-25.2744,148.7751,VUT,Australia,South Pacific
Wallis and Futuna,-13.768752,-177.156097,Oceania,-25.2744,148.7751,WLF,Australia,South Pacific
Samoa,-13.759029,-172.104629,Oceania,-25.2744,148.7751,WSM,Australia,South Pacific
Kosovo,42.602636,20.902977,Europe,48.499998,18.3833318,KOS,Europe,Central Europe
Yemen,15.552727,48.516388,Middle East,29.2985,42.551,YEM,Asia,Arabian Peninsula
Mayotte,-12.8275,45.166244,Africa,8.7832,29.5085,,Africa,Western Indian Ocean
South Africa,-30.559482,22.937506,Africa,8.7832,29.5085,ZAF,Africa,Southern Africa
Zambia,-13.133897,27.849332,Africa,8.7832,29.5085,ZMB,Africa,Southern Africa
Zimbabwe,-19.015438,29.154857,Africa,8.7832,29.5085,ZWE,Africa,Southern Africa
